date,state,district,pincode,bio_age_5_17,bio_age_17_
18-09-2025,Tamil Nadu,Krishnagiri,635206,5,18
18-09-2025,Tamil Nadu,Krishnagiri,636806,0,4
19-09-2025,Tamil Nadu,Krishnagiri,635001,3,19
19-09-2025,Tamil Nadu,Krishnagiri,635104,3,3
19-09-2025,Tamil Nadu,Krishnagiri,635110,2,4
19-09-2025,Tamil Nadu,Krishnagiri,635113,5,8
19-09-2025,Tamil Nadu,Krishnagiri,635201,3,7
19-09-2025,Tamil Nadu,Krishnagiri,635203,3,4
19-09-2025,Tamil Nadu,Krishnagiri,636812,0,1
24-09-2025,Tamil Nadu,Krishnagiri,635105,2,10
24-09-2025,Tamil Nadu,Krishnagiri,635110,4,5
24-09-2025,Tamil Nadu,Krishnagiri,635116,2,3
24-09-2025,Tamil Nadu,Krishnagiri,635121,4,9
24-09-2025,Tamil Nadu,Krishnagiri,635124,0,1
24-09-2025,Tamil Nadu,Krishnagiri,635126,5,6
23-09-2025,Tamil Nadu,Krishnagiri,635104,3,13
23-09-2025,Tamil Nadu,Krishnagiri,635108,1,3
23-09-2025,Tamil Nadu,Krishnagiri,635113,8,8
23-09-2025,Tamil Nadu,Krishnagiri,635114,3,6
23-09-2025,Tamil Nadu,Krishnagiri,635115,2,8
23-09-2025,Tamil Nadu,Krishnagiri,635119,1,5
23-09-2025,Tamil Nadu,Krishnagiri,636806,4,1
06-10-2025,Tamil Nadu,Krishnagiri,635101,2,14
06-10-2025,Tamil Nadu,Krishnagiri,635115,12,8
06-10-2025,Tamil Nadu,Krishnagiri,635119,11,6
06-10-2025,Tamil Nadu,Krishnagiri,635121,16,18
06-10-2025,Tamil Nadu,Krishnagiri,635122,12,10
06-10-2025,Tamil Nadu,Krishnagiri,635206,8,3
06-10-2025,Tamil Nadu,Krishnagiri,636806,4,0
15-09-2025,Tamil Nadu,Krishnagiri,635105,1,4
15-09-2025,Tamil Nadu,Krishnagiri,635108,1,2
15-09-2025,Tamil Nadu,Krishnagiri,635122,7,6
15-09-2025,Tamil Nadu,Krishnagiri,635123,1,6
15-09-2025,Tamil Nadu,Krishnagiri,635126,3,10
15-09-2025,Tamil Nadu,Krishnagiri,636902,0,3
25-09-2025,Tamil Nadu,Krishnagiri,635101,2,2
25-09-2025,Tamil Nadu,Krishnagiri,635105,3,8
25-09-2025,Tamil Nadu,Krishnagiri,635107,4,9
25-09-2025,Tamil Nadu,Krishnagiri,635116,4,7
25-09-2025,Tamil Nadu,Krishnagiri,635117,16,14
